"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","tips"
"Capricornis_milneedwardsii","Capricornis_milneedwardsii","diurnal","diurnal","diurnal","Capricornis_milneedwardsii"
"Capricornis_rubidus","Capricornis_rubidus","diurnal","diurnal","diurnal","Capricornis_rubidus"
"Capricornis_swinhoei","Capricornis_swinhoei","diurnal","diurnal","diurnal","Capricornis_swinhoei"
"Capricornis_thar","Capricornis_thar","diurnal","diurnal","diurnal","Capricornis_thar"
"Catagonus_wagneri","Catagonus_wagneri","diurnal","diurnal","diurnal","Catagonus_wagneri"
"Cephalophus_adersi","Cephalophus_adersi","diurnal","diurnal","diurnal","Cephalophus_adersi"
"Cephalophus_callipygus","Cephalophus_callipygus","diurnal","diurnal","diurnal","Cephalophus_callipygus"
"Cephalophus_dorsalis","Cephalophus_dorsalis","diurnal","diurnal","diurnal","Cephalophus_dorsalis"
"Cephalophus_harveyi","Cephalophus_harveyi","diurnal","diurnal","diurnal","Cephalophus_harveyi"
"Cephalophus_jentinki","Cephalophus_jentinki","nocturnal","nocturnal","nocturnal","Cephalophus_jentinki"
"Cephalophus_leucogaster","Cephalophus_leucogaster","diurnal","diurnal","diurnal","Cephalophus_leucogaster"
"Cephalophus_natalensis","Cephalophus_natalensis","diurnal","diurnal","diurnal","Cephalophus_natalensis"
"Cephalophus_nigrifrons","Cephalophus_nigrifrons","diurnal","diurnal","diurnal","Cephalophus_nigrifrons"
"Cephalophus_ogilbyi","Cephalophus_ogilbyi","diurnal","diurnal","diurnal","Cephalophus_ogilbyi"
"Cephalophus_rufilatus","Cephalophus_rufilatus","diurnal","diurnal","diurnal","Cephalophus_rufilatus"
"Cephalophus_silvicultor","Cephalophus_silvicultor","diurnal","diurnal","diurnal","Cephalophus_silvicultor"
"Cephalophus_spadix","Cephalophus_spadix","nocturnal","nocturnal","nocturnal","Cephalophus_spadix"
"Cephalophus_weynsi","Cephalophus_weynsi","diurnal","diurnal","diurnal","Cephalophus_weynsi"
"Cephalophus_zebra","Cephalophus_zebra","diurnal","diurnal","diurnal","Cephalophus_zebra"
"Choeropsis_liberiensis","Choeropsis_liberiensis","nocturnal","nocturnal","nocturnal","Choeropsis_liberiensis"
"Dama_mesopotamica","Dama_mesopotamica","nocturnal","nocturnal","nocturnal","Dama_mesopotamica"
"Damaliscus_lunatus","Damaliscus_lunatus","diurnal","diurnal","diurnal","Damaliscus_lunatus"
"Damaliscus_pygargus","Damaliscus_pygargus","diurnal","diurnal","diurnal","Damaliscus_pygargus"
"Dorcatragus_megalotis","Dorcatragus_megalotis","diurnal","diurnal","diurnal","Dorcatragus_megalotis"
"Elaphurus_davidianus","Elaphurus_davidianus","diurnal","diurnal","diurnal","Elaphurus_davidianus"
"Eudorcas_albonotata","Eudorcas_albonotata","diurnal","diurnal","diurnal","Eudorcas_albonotata"
"Gazella_bennettii","Gazella_bennettii","nocturnal","nocturnal","nocturnal","Gazella_bennettii"
"Gazella_cuvieri","Gazella_cuvieri","nocturnal","nocturnal","nocturnal","Gazella_cuvieri"
"Gazella_dorcas","Gazella_dorcas","nocturnal","nocturnal","nocturnal","Gazella_dorcas"
"Gazella_gazella","Gazella_gazella","diurnal","diurnal","diurnal","Gazella_gazella"
"Gazella_subgutturosa","Gazella_subgutturosa","diurnal","diurnal","diurnal","Gazella_subgutturosa"
"Giraffa_camelopardalis","Giraffa_camelopardalis","diurnal","diurnal","diurnal","Giraffa_camelopardalis"
"Hemitragus_jemlahicus","Hemitragus_jemlahicus","diurnal","diurnal","diurnal","Hemitragus_jemlahicus"
"Hippocamelus_antisensis","Hippocamelus_antisensis","diurnal","diurnal","diurnal","Hippocamelus_antisensis"
"Hippotragus_equinus","Hippotragus_equinus","diurnal","diurnal","diurnal","Hippotragus_equinus"
"Hyemoschus_aquaticus","Hyemoschus_aquaticus","nocturnal","nocturnal","nocturnal","Hyemoschus_aquaticus"
"Hylochoerus_meinertzhageni","Hylochoerus_meinertzhageni","diurnal","diurnal","diurnal","Hylochoerus_meinertzhageni"
"Kobus_leche","Kobus_leche","diurnal","diurnal","diurnal","Kobus_leche"
"Kobus_megaceros","Kobus_megaceros","diurnal","diurnal","diurnal","Kobus_megaceros"
"Lama_guanicoe","Lama_guanicoe","diurnal","diurnal","diurnal","Lama_guanicoe"
"Litocranius_walleri","Litocranius_walleri","diurnal","diurnal","diurnal","Litocranius_walleri"
"Madoqua_guentheri","Madoqua_guentheri","diurnal","diurnal","diurnal","Madoqua_guentheri"
"Madoqua_saltiana","Madoqua_saltiana","nocturnal","nocturnal","nocturnal","Madoqua_saltiana"
"Mazama_americana","Mazama_americana","nocturnal","nocturnal","nocturnal","Mazama_americana"
"Mazama_bororo","Mazama_bororo","nocturnal","nocturnal","nocturnal","Mazama_bororo"
"Mazama_rufina","Mazama_rufina","nocturnal","nocturnal","nocturnal","Mazama_rufina"
"Moschiola_indica","Moschiola_indica","nocturnal","nocturnal","nocturnal","Moschiola_indica"
"Moschiola_kathygre","Moschiola_kathygre","nocturnal","nocturnal","nocturnal","Moschiola_kathygre"
"Moschiola_meminna","Moschiola_meminna","nocturnal","nocturnal","nocturnal","Moschiola_meminna"
"Moschus_anhuiensis","Moschus_anhuiensis","nocturnal","nocturnal","nocturnal","Moschus_anhuiensis"
"Moschus_berezovskii","Moschus_berezovskii","nocturnal","nocturnal","nocturnal","Moschus_berezovskii"
"Moschus_chrysogaster","Moschus_chrysogaster","nocturnal","nocturnal","nocturnal","Moschus_chrysogaster"
"Moschus_cupreus","Moschus_cupreus","nocturnal","nocturnal","nocturnal","Moschus_cupreus"
"Moschus_fuscus","Moschus_fuscus","nocturnal","nocturnal","nocturnal","Moschus_fuscus"
"Moschus_leucogaster","Moschus_leucogaster","nocturnal","nocturnal","nocturnal","Moschus_leucogaster"
"Muntiacus_atherodes","Muntiacus_atherodes","diurnal","diurnal","diurnal","Muntiacus_atherodes"
"Muntiacus_vuquangensis","Muntiacus_vuquangensis","diurnal","diurnal","diurnal","Muntiacus_vuquangensis"
"Naemorhedus_baileyi","Naemorhedus_baileyi","diurnal","diurnal","diurnal","Naemorhedus_baileyi"
"Naemorhedus_caudatus","Naemorhedus_caudatus","nocturnal","nocturnal","nocturnal","Naemorhedus_caudatus"
"Nanger_dama","Nanger_dama","diurnal","diurnal","diurnal","Nanger_dama"
"Nanger_granti","Nanger_granti","diurnal","diurnal","diurnal","Nanger_granti"
"Nanger_soemmerringii","Nanger_soemmerringii","diurnal","diurnal","diurnal","Nanger_soemmerringii"
"Neotragus_pygmaeus","Neotragus_pygmaeus","nocturnal","nocturnal","nocturnal","Neotragus_pygmaeus"
"Nesotragus_moschatus","Nesotragus_moschatus","diurnal","diurnal","diurnal","Nesotragus_moschatus"
"Nilgiritragus_hylocrius","Nilgiritragus_hylocrius","diurnal","diurnal","diurnal","Nilgiritragus_hylocrius"
"Okapia_johnstoni","Okapia_johnstoni","diurnal","diurnal","diurnal","Okapia_johnstoni"
"Oreotragus_oreotragus","Oreotragus_oreotragus","diurnal","diurnal","diurnal","Oreotragus_oreotragus"
"Ovis_dalli","Ovis_dalli","diurnal","diurnal","diurnal","Ovis_dalli"
"Ovis_nivicola","Ovis_nivicola","diurnal","diurnal","diurnal","Ovis_nivicola"
"Pecari_tajacu","Pecari_tajacu","diurnal","diurnal","diurnal","Pecari_tajacu"
"Phacochoerus_aethiopicus","Phacochoerus_aethiopicus","diurnal","diurnal","diurnal","Phacochoerus_aethiopicus"
"Phacochoerus_africanus","Phacochoerus_africanus","diurnal","diurnal","diurnal","Phacochoerus_africanus"
"Philantomba_maxwellii","Philantomba_maxwellii","diurnal","diurnal","diurnal","Philantomba_maxwellii"
"Philantomba_monticola","Philantomba_monticola","diurnal","diurnal","diurnal","Philantomba_monticola"
"Philantomba_walteri","Philantomba_walteri","diurnal","diurnal","diurnal","Philantomba_walteri"
"Porcula_salvania","Porcula_salvania","diurnal","diurnal","diurnal","Porcula_salvania"
"Potamochoerus_larvatus","Potamochoerus_larvatus","nocturnal","nocturnal","nocturnal","Potamochoerus_larvatus"
"Potamochoerus_porcus","Potamochoerus_porcus","nocturnal","nocturnal","nocturnal","Potamochoerus_porcus"
"Procapra_gutturosa","Procapra_gutturosa","diurnal","diurnal","diurnal","Procapra_gutturosa"
"Procapra_przewalskii","Procapra_przewalskii","diurnal","diurnal","diurnal","Procapra_przewalskii"
"Pseudois_nayaur","Pseudois_nayaur","diurnal","diurnal","diurnal","Pseudois_nayaur"
"Pseudoryx_nghetinhensis","Pseudoryx_nghetinhensis","diurnal","diurnal","diurnal","Pseudoryx_nghetinhensis"
"Pudu_mephistophiles","Pudu_mephistophiles","nocturnal","nocturnal","nocturnal","Pudu_mephistophiles"
"Raphicerus_melanotis","Raphicerus_melanotis","nocturnal","nocturnal","nocturnal","Raphicerus_melanotis"
"Raphicerus_sharpei","Raphicerus_sharpei","nocturnal","nocturnal","nocturnal","Raphicerus_sharpei"
"Rucervus_duvaucelii","Rucervus_duvaucelii","diurnal","diurnal","diurnal","Rucervus_duvaucelii"
"Rupicapra_pyrenaica","Rupicapra_pyrenaica","diurnal","diurnal","diurnal","Rupicapra_pyrenaica"
"Rupicapra_rupicapra","Rupicapra_rupicapra","diurnal","diurnal","diurnal","Rupicapra_rupicapra"
"Rusa_alfredi","Rusa_alfredi","nocturnal","nocturnal","nocturnal","Rusa_alfredi"
"Rusa_marianna","Rusa_marianna","nocturnal","nocturnal","nocturnal","Rusa_marianna"
"Rusa_timorensis","Rusa_timorensis","diurnal","diurnal","diurnal","Rusa_timorensis"
"Rusa_unicolor","Rusa_unicolor","nocturnal","nocturnal","nocturnal","Rusa_unicolor"
"Saiga_tatarica","Saiga_tatarica","diurnal","diurnal","diurnal","Saiga_tatarica"
"Sus_ahoenobarbus","Sus_ahoenobarbus","diurnal","diurnal","diurnal","Sus_ahoenobarbus"
"Sus_barbatus","Sus_barbatus","diurnal","diurnal","diurnal","Sus_barbatus"
"Sus_cebifrons","Sus_cebifrons","nocturnal","nocturnal","nocturnal","Sus_cebifrons"
"Sus_celebensis","Sus_celebensis","diurnal","diurnal","diurnal","Sus_celebensis"
"Sus_oliveri","Sus_oliveri","nocturnal","nocturnal","nocturnal","Sus_oliveri"
"Sus_philippensis","Sus_philippensis","nocturnal","nocturnal","nocturnal","Sus_philippensis"
"Sus_verrucosus","Sus_verrucosus","nocturnal","nocturnal","nocturnal","Sus_verrucosus"
"Sylvicapra_grimmia","Sylvicapra_grimmia","diurnal","diurnal","diurnal","Sylvicapra_grimmia"
"Tayassu_pecari","Tayassu_pecari","diurnal","diurnal","diurnal","Tayassu_pecari"
"Tragelaphus_angasii","Tragelaphus_angasii","diurnal","diurnal","diurnal","Tragelaphus_angasii"
"Tragelaphus_buxtoni","Tragelaphus_buxtoni","nocturnal","nocturnal","nocturnal","Tragelaphus_buxtoni"
"Tragelaphus_eurycerus","Tragelaphus_eurycerus","nocturnal","nocturnal","nocturnal","Tragelaphus_eurycerus"
"Tragelaphus_imberbis","Tragelaphus_imberbis","nocturnal","nocturnal","nocturnal","Tragelaphus_imberbis"
"Tragelaphus_oryx","Tragelaphus_oryx","nocturnal","nocturnal","nocturnal","Tragelaphus_oryx"
"Tragelaphus_scriptus","Tragelaphus_scriptus","nocturnal","nocturnal","nocturnal","Tragelaphus_scriptus"
"Tragelaphus_spekii","Tragelaphus_spekii","diurnal","diurnal","diurnal","Tragelaphus_spekii"
"Tragulus_javanicus","Tragulus_javanicus","nocturnal","nocturnal","nocturnal","Tragulus_javanicus"
"Tragulus_nigricans","Tragulus_nigricans","nocturnal","nocturnal","nocturnal","Tragulus_nigricans"
"Tragulus_versicolor","Tragulus_versicolor","nocturnal","nocturnal","nocturnal","Tragulus_versicolor"
"Tragulus_williamsoni","Tragulus_williamsoni","nocturnal","nocturnal","nocturnal","Tragulus_williamsoni"
"Vicugna_vicugna","Vicugna_vicugna","diurnal","diurnal","diurnal","Vicugna_vicugna"
"Balaena mysticetus","Balaena mysticetus",NA,"cathemeral","cathemeral","Balaena_mysticetus"
"Balaenoptera acutorostrata","Balaenoptera acutorostrata","nocturnal","nocturnal","nocturnal","Balaenoptera_acutorostrata"
"Balaenoptera bonaerensis","Balaenoptera bonaerensis",NA,"cathemeral","cathemeral","Balaenoptera_bonaerensis"
"Balaenoptera borealis","Balaenoptera borealis",NA,"cathemeral","cathemeral","Balaenoptera_borealis"
"Balaenoptera brydei","Balaenoptera brydei","nocturnal","nocturnal","nocturnal","Balaenoptera_brydei"
"Balaenoptera edeni","Balaenoptera edeni","diurnal","diurnal/crepuscular","crepuscular","Balaenoptera_edeni"
"Balaenoptera musculus","Balaenoptera musculus",NA,"cathemeral","cathemeral","Balaenoptera_musculus"
"Balaenoptera omurai","Balaenoptera omurai",NA,"cathemeral","cathemeral","Balaenoptera_omurai"
"Balaenoptera physalus","Balaenoptera physalus",NA,"cathemeral","cathemeral","Balaenoptera_physalus"
"Balaenoptera ricei","Balaenoptera ricei","diurnal","diurnal","diurnal","Balaenoptera_ricei"
"Berardius bairdii","Berardius bairdii",NA,"cathemeral","cathemeral","Berardius_bairdii"
"Caperea marginata","Caperea marginata","nocturnal","nocturnal","nocturnal","Caperea_marginata"
"Cephalorhynchus commersonii","Cephalorhynchus commersonii","diurnal","diurnal","diurnal","Cephalorhynchus_commersonii"
"Cephalorhynchus eutropia","Cephalorhynchus eutropia",NA,"cathemeral","cathemeral","Cephalorhynchus_eutropia"
"Cephalorhynchus heavisidii","Cephalorhynchus heavisidii","nocturnal","nocturnal/crepuscular","crepuscular","Cephalorhynchus_heavisidii"
"Cephalorhynchus hectori","Cephalorhynchus hectori","diurnal","diurnal","diurnal","Cephalorhynchus_hectori"
"Delphinapterus leucas","Delphinapterus leucas","diurnal","diurnal","diurnal","Delphinapterus_leucas"
"Delphinus delphis","Delphinus delphis","nocturnal","nocturnal","nocturnal","Delphinus_delphis"
"Eschrichtius robustus","Eschrichtius robustus","nocturnal","nocturnal/crepuscular","crepuscular","Eschrichtius_robustus"
"Eubalaena australis","Eubalaena australis","nocturnal","nocturnal/crepuscular","crepuscular","Eubalaena_australis"
"Eubalaena glacialis","Eubalaena glacialis","nocturnal","nocturnal","nocturnal","Eubalaena_glacialis"
"Eubalaena japonica","Eubalaena japonica","nocturnal","nocturnal","nocturnal","Eubalaena_japonica"
"Feresa attenuata","Feresa attenuata","nocturnal","nocturnal","nocturnal","Feresa_attenuata"
"Globicephala macrorhynchus","Globicephala macrorhynchus","nocturnal","nocturnal/crepuscular","crepuscular","Globicephala_macrorhynchus"
"Globicephala melas","Globicephala melas","nocturnal","nocturnal","nocturnal","Globicephala_melas"
"Grampus griseus","Grampus griseus","nocturnal","nocturnal/crepuscular","crepuscular","Grampus_griseus"
"Hyperoodon ampullatus","Hyperoodon ampullatus",NA,"cathemeral","cathemeral","Hyperoodon_ampullatus"
"Hyperoodon planifrons","Hyperoodon planifrons","nocturnal","nocturnal/crepuscular","crepuscular","Hyperoodon_planifrons"
"Indopacetus pacificus","Indopacetus pacificus","nocturnal","nocturnal/crepuscular","crepuscular","Indopacetus_pacificus"
"Inia boliviensis","Inia boliviensis","nocturnal","nocturnal","nocturnal","Inia_boliviensis"
"Inia geoffrensis","Inia geoffrensis",NA,"cathemeral","cathemeral","Inia_geoffrensis"
"Inia humboldtiana","Inia humboldtiana","nocturnal","nocturnal","nocturnal","Inia_humboldtiana"
"Kogia breviceps","Kogia breviceps","diurnal","diurnal","diurnal","Kogia_breviceps"
"Kogia sima","Kogia sima","diurnal","diurnal","diurnal","Kogia_sima"
"Lagenodelphis hosei","Lagenodelphis hosei","nocturnal","nocturnal","nocturnal","Lagenodelphis_hosei"
"Lagenorhynchus albirostris","Lagenorhynchus albirostris","nocturnal","nocturnal/crepuscular","crepuscular","Lagenorhynchus_albirostris"
"Lagenorhynchus acutus","Lagenorhynchus acutus","nocturnal","nocturnal/crepuscular","crepuscular","Lagenorhynchus_acutus"
"Lipotes vexillifer","Lipotes vexillifer","diurnal","diurnal","diurnal","Lipotes_vexillifer"
"Lissodelphis borealis","Lissodelphis borealis","nocturnal","nocturnal","nocturnal","Lissodelphis_borealis"
"Lissodelphis peronii","Lissodelphis peronii","nocturnal","nocturnal","nocturnal","Lissodelphis_peronii"
"Megaptera novaeangliae","Megaptera novaeangliae",NA,"cathemeral","cathemeral","Megaptera_novaeangliae"
"Mesoplodon bidens","Mesoplodon bidens","diurnal","diurnal","diurnal","Mesoplodon_bidens"
"Mesoplodon densirostris","Mesoplodon densirostris",NA,"cathemeral","cathemeral","Mesoplodon_densirostris"
"Mesoplodon europaeus","Mesoplodon europaeus","diurnal","diurnal","diurnal","Mesoplodon_europaeus"
"Mesoplodon ginkgodens","Mesoplodon ginkgodens","nocturnal","nocturnal","nocturnal","Mesoplodon_ginkgodens"
"Mesoplodon hotaula","Mesoplodon hotaula","diurnal","diurnal","diurnal","Mesoplodon_hotaula"
"Mesoplodon stejnegeri","Mesoplodon stejnegeri",NA,"cathemeral","cathemeral","Mesoplodon_stejnegeri"
"Monodon monoceros","Monodon monoceros",NA,"cathemeral","cathemeral","Monodon_monoceros"
"Neophocaena asiaeorientalis","Neophocaena asiaeorientalis","nocturnal","nocturnal/crepuscular","crepuscular","Neophocaena_asiaeorientalis"
"Neophocaena phocaenoides","Neophocaena phocaenoides","nocturnal","nocturnal","nocturnal","Neophocaena_phocaenoides"
"Neophocaena sunameri","Neophocaena sunameri","nocturnal","nocturnal/crepuscular","crepuscular","Neophocaena_sunameri"
"Orcaella brevirostris","Orcaella brevirostris","diurnal","diurnal/crepuscular","crepuscular","Orcaella_brevirostris"
"Orcaella heinsohni","Orcaella heinsohni","nocturnal","nocturnal","nocturnal","Orcaella_heinsohni"
"Orcinus orca","Orcinus orca","diurnal","diurnal","diurnal","Orcinus_orca"
"Peponocephala electra","Peponocephala electra","nocturnal","nocturnal","nocturnal","Peponocephala_electra"
"Phocoena phocoena","Phocoena phocoena",NA,"cathemeral","cathemeral","Phocoena_phocoena"
"Phocoena sinus","Phocoena sinus",NA,"cathemeral","cathemeral","Phocoena_sinus"
"Phocoenoides dalli","Phocoenoides dalli",NA,"cathemeral","cathemeral","Phocoenoides_dalli"
"Physeter macrocephalus","Physeter macrocephalus",NA,"cathemeral","cathemeral","Physeter_macrocephalus"
"Platanista gangetica","Platanista gangetica","nocturnal","nocturnal/crepuscular","crepuscular","Platanista_gangetica"
"Platanista minor","Platanista minor","nocturnal","nocturnal/crepuscular","crepuscular","Platanista_minor"
"Pontoporia blainvillei","Pontoporia blainvillei","nocturnal","nocturnal","nocturnal","Pontoporia_blainvillei"
"Pseudorca crassidens","Pseudorca crassidens","diurnal","diurnal","diurnal","Pseudorca_crassidens"
"Lagenorhynchus australis","Lagenorhynchus australis","nocturnal","nocturnal","nocturnal","Lagenorhynchus_australis"
"Lagenorhynchus obliquidens","Lagenorhynchus obliquidens","nocturnal","nocturnal/crepuscular","crepuscular","Lagenorhynchus_obliquidens"
"Lagenorhynchus obscurus","Lagenorhynchus obscurus","diurnal","diurnal","diurnal","Lagenorhynchus_obscurus"
"Sotalia fluviatilis","Sotalia fluviatilis","diurnal","diurnal/crepuscular","crepuscular","Sotalia_fluviatilis"
"Sotalia guianensis","Sotalia guianensis",NA,"cathemeral","cathemeral","Sotalia_guianensis"
"Sousa chinensis","Sousa chinensis","nocturnal","nocturnal/crepuscular","crepuscular","Sousa_chinensis"
"Sousa plumbea","Sousa plumbea","nocturnal","nocturnal","nocturnal","Sousa_plumbea"
"Sousa teuszii","Sousa teuszii","nocturnal","nocturnal","nocturnal","Sousa_teuszii"
"Stenella attenuata","Stenella attenuata","nocturnal","nocturnal/crepuscular","crepuscular","Stenella_attenuata"
"Stenella clymene","Stenella clymene","nocturnal","nocturnal","nocturnal","Stenella_clymene"
"Stenella coeruleoalba","Stenella coeruleoalba","nocturnal","nocturnal","nocturnal","Stenella_coeruleoalba"
"Stenella frontalis","Stenella frontalis","nocturnal","nocturnal","nocturnal","Stenella_frontalis"
"Stenella longirostris","Stenella longirostris","nocturnal","nocturnal","nocturnal","Stenella_longirostris"
"Steno bredanensis","Steno bredanensis","nocturnal","nocturnal/crepuscular","crepuscular","Steno_bredanensis"
"Tursiops aduncus","Tursiops aduncus","diurnal","diurnal","diurnal","Tursiops_aduncus"
"Tursiops truncatus","Tursiops truncatus","diurnal","diurnal","diurnal","Tursiops_truncatus"
"Ziphius cavirostris","Ziphius cavirostris",NA,"cathemeral","cathemeral","Ziphius_cavirostris"
