"","Species_name","Alt_name.notes","Family","Order","Genome","Annotated..NCBI.","Diel_Pattern","AltDiel_Pattern","Method.1","Confidence.1","Comments.1","Source.1","Method.2","Confidence.2","Comments.2","Source.2","Method.3","Confidence.3","Comments.3","Source.3","Method.4","Confidence.4","Comments.4","Source.4","X","X.1"
"334","Synanthedon resplendens","","Sesiidae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"335","Heliothodes diminutiva","","Noctuidae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"336","Dasyfidonia avuncularia","","Geometridae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"337","Litocala sexsignata","","Erebidae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"338","Annaphila decia","","Noctuidae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"339","Lipographis umbrella","","Pyralidae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"340","Alypia ridingsii","","Noctuidae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"341","Synanthedon polygoni","","Sesiidae","Lepidoptera","","","Diurnal","","Review article","1","","California Plants as Resources for Lepidoptera: a guide for gardeners, restorationists and naturalists","",NA,"","","",NA,NA,"","",NA,"","","",""
"342","Ogygioses caliginosa","","Hepialidae","Lepidoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1071/IT9951231","",NA,"","","",NA,NA,"","",NA,"","","",""
"343","Ogygioses eurata","","Hepialidae","Lepidoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1071/IT9951231","",NA,"","","",NA,NA,"","",NA,"","","",""
"344","Ogygioses issikii","","Hepialidae","Lepidoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1071/IT9951231","",NA,"","","",NA,NA,"","",NA,"","","",""
"345","Ogygioses luangensis","","Hepialidae","Lepidoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1071/IT9951231","",NA,"","","",NA,NA,"","",NA,"","","",""
"346","Xylocopa tenuiscapa","","Apidae","Hymenoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"347","Apis laboriosa","","Apidae","Hymenoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"348","Protoxaea gloriosa","","Andrenidae","Hymenoptera","","","Crepuscular","","Review article","1","dawn forager","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"349","Lasioglossum lustrans","","Halictidae","Hymenoptera","","","Crepuscular","","Review article","1","dawn forager","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"350","Colletes stepheni","","Colletidae","Hymenoptera","","","Crepuscular","","Review article","1","dawn forager","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"351","Bombus sonorus","","Apidae","Hymenoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"352","Xylocopa tabaniformis","","Apidae","Hymenoptera","","","Crepuscular","","Review article","1","","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"353","Anurida maritima","","Poduromorpha","Neanuridae","","","Diurnal","","Field: observation","2","found highly reduced activity at night, and only found night activity in artifical light settings","https://doi.org/10.1007/BF00348049","",NA,"","","",NA,NA,"","",NA,"","","",""
"354","Phaleria testacea","","Tenebrionidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1016/j.rsma.2021.101765","",NA,"","","",NA,NA,"","",NA,"","","",""
"355","Phaleria bimaculata","","Tenebrionidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1016/j.rsma.2021.101765","",NA,"","","",NA,NA,"","",NA,"","","",""
"356","Messor regalis","","Formicidae","Hymenoptera","","","Nocturnal","","Review article","1","","The Ants By Bert H̦lldobler, Edward O. Wilson","",NA,"","","",NA,NA,"","",NA,"","","",""
"357","Messor galla","","Formicidae","Hymenoptera","","","Nocturnal","","Review article","1","says night forager so I assume nocturnal","The Ants By Bert H̦lldobler, Edward O. Wilson","",NA,"","","",NA,NA,"","",NA,"","","",""
"358","Pelopidas mathias","","Hesperiidae","Lepidoptera","","","Diurnal","","Review article","1","","https://doi.org/10.3157/021.125.0103","",NA,"","","",NA,NA,"","",NA,"","","",""
"359","Parnara guttata","","Hesperiidae","Lepidoptera","","","Diurnal","","Review article","1","","https://doi.org/10.3157/021.125.0103","",NA,"","","",NA,NA,"","",NA,"","","",""
"360","Oxyopes quadrifasciatus","","Oxyopidae","Araneae","","","Diurnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 54","",NA,"","","",NA,NA,"","",NA,"","","",""
"361","Opisthoncus necator","","Salticidae","Araneae","","","Diurnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 81","",NA,"","","",NA,NA,"","",NA,"","","",""
"362","Opisthoncus polyphemus","","Salticidae","Araneae","","","Diurnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 82","",NA,"","","",NA,NA,"","",NA,"","","",""
"363","Thomisus spectabilis","","Thomisidae","Araneae","","","Diurnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 82","",NA,"","","",NA,NA,"","",NA,"","","",""
"364","Badumna insignis","","Desidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 35","",NA,"","","",NA,NA,"","",NA,"","","",""
"365","Badumna longinqua","","Desidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 36","",NA,"","","",NA,NA,"","",NA,"","","",""
"366","Deinopis subrufa","","Deinopidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 37","",NA,"","","",NA,NA,"","",NA,"","","",""
"367","Scytodes fusca","","Scytodidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 46","",NA,"","","",NA,NA,"","",NA,"","","",""
"368","Hoggicosa bicolor","","Lycosidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 48","",NA,"","","",NA,NA,"","",NA,"","","",""
"369","Lycosa leucophaeoides","","Lycosidae","Araneae","","","Nocturnal","Crepuscular","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 50","",NA,"","","",NA,NA,"","",NA,"","","",""
"370","Cheiracanthium gilvum","","Cheiracanthiidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 62","",NA,"","","",NA,NA,"","",NA,"","","",""
"371","Cheiracanthium diversum","","Cheiracanthiidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 62","",NA,"","","",NA,NA,"","",NA,"","","",""
"372","Astia hariola","","Salticidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 74","",NA,"","","",NA,NA,"","",NA,"","","",""
"373","Astia nodosa","","Salticidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 75","",NA,"","","",NA,NA,"","",NA,"","","",""
"374","Delena cancerides","","Sparassidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 87","",NA,"","","",NA,NA,"","",NA,"","","",""
"375","Holconia insignis","","Sparassidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 90","",NA,"","","",NA,NA,"","",NA,"","","",""
"376","Stephanopis altifrons","","Thomisidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 106","",NA,"","","",NA,NA,"","",NA,"","","",""
"377","Tharpyna campestrata","","Thomisidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 107","",NA,"","","",NA,NA,"","",NA,"","","",""
"378","Araneus circulissparsus","","Araneidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 123","",NA,"","","",NA,NA,"","",NA,"","","",""
"379","Selenocosmia crassipes","","Theraphosidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 150","",NA,"","","",NA,NA,"","",NA,"","","",""
"380","Selenocosmia stirlingi","","Theraphosidae","Araneae","","","Nocturnal","","Review article","1","","SPIDERS of Australia: An Introduction to their Classification, Biology and Distribution, page 150","",NA,"","","",NA,NA,"","",NA,"","","",""
"381","Acanthopteroctetes unifascia","","Acanthopteroctetidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"382","Adela trigrapha","","Adelidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"383","Cauchas simpliciella","","Adelidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"384","Nemophora sp.","","Adelidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"385","Nematopogon magnus","","Adelidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"386","Cecidoses eremita","","Cecidosidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"387","Dicranoses capsulifex","","Cecidosidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"388","Antispila voraginella","","Heliozelidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"389","Heliozela aesella","","Heliozelidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"390","Crinopteryx familiella","","Incurvariidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"391","Perthida sp. ""Canberra""","","Incurvariidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"392","Vespina quercivora","","Incurvariidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"393","Lampronia aenescens","","Prodoxidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"394","Tridentaforma fuscoleuca","","Prodoxidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"395","Prodoxus decipiens","","Prodoxidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"396","Tegeticula yuccasella","","Prodoxidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"397","Agathiphaga queenslandensis","","Agathiphagidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"398","Alucita sp.","","Alucitidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"399","Andesiana lamellata","","Andesianidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"400","Chelepteryx collesi","","Anthelidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"401","Nataxa flavescens","","Anthelidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"402","Munychryia senicula","","Anthelidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"403","Apatelodes torrefacta","","Apatelodidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"404","Quentalia chromana","","Bombycidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
